 Premier League, AFC Bournemouth, Aaron Ramsdale
 Premier League, AFC Bournemouth, Adam Federici
 Premier League, AFC Bournemouth, Adam Smith
 Premier League, AFC Bournemouth, Andrew Surman
 Premier League, AFC Bournemouth, Artur Boruc
 Premier League, AFC Bournemouth, Baily Cargill
 Premier League, AFC Bournemouth, Benik Afobe
 Premier League, AFC Bournemouth, Brad Smith
 Premier League, AFC Bournemouth, Callum Wilson
 Premier League, AFC Bournemouth, Charlie Daniels
 Premier League, AFC Bournemouth, Dan Gosling
 Premier League, AFC Bournemouth, Harry Arter
 Premier League, AFC Bournemouth, Jack Wilshere
 Premier League, AFC Bournemouth, Jordon Ibe
 Premier League, AFC Bournemouth, Joshua King
 Premier League, AFC Bournemouth, Junior Stanislas
 Premier League, AFC Bournemouth, Lewis Cook
 Premier League, AFC Bournemouth, Lys Mousset
 Premier League, AFC Bournemouth, Marc Pugh
 Premier League, AFC Bournemouth, Max Gradel
 Premier League, AFC Bournemouth, Rhoys Wiggins
 Premier League, AFC Bournemouth, Ryan Allsop
 Premier League, AFC Bournemouth, Ryan Fraser
 Premier League, AFC Bournemouth, Simon Francis
 Premier League, AFC Bournemouth, Steve Cook
 Premier League, AFC Bournemouth, Tyrone Mings
 Premier League, Arsenal FC, Aaron Ramsey
 Premier League, Arsenal FC, Alex Iwobi
 Premier League, Arsenal FC, Alex Oxlade-Chamberlain
 Premier League, Arsenal FC, Alexis Sánchez
 Premier League, Arsenal FC, Carl Jenkinson
 Premier League, Arsenal FC, Danny Welbeck
 Premier League, Arsenal FC, David Ospina
 Premier League, Arsenal FC, Emiliano Martínez
 Premier League, Arsenal FC, Francis Coquelin
 Premier League, Arsenal FC, Gabriel Paulista
 Premier League, Arsenal FC, Granit Xhaka
 Premier League, Arsenal FC, Héctor Bellerín
 Premier League, Arsenal FC, Kieran Gibbs
 Premier League, Arsenal FC, Laurent Koscielny
 Premier League, Arsenal FC, Lucas Pérez
 Premier League, Arsenal FC, Mathieu Debuchy
 Premier League, Arsenal FC, Matt Macey
 Premier League, Arsenal FC, Mesut Özil
 Premier League, Arsenal FC, Mohamed Elneny
 Premier League, Arsenal FC, Nacho Monreal
 Premier League, Arsenal FC, Olivier Giroud
 Premier League, Arsenal FC, Per Mertesacker
 Premier League, Arsenal FC, Petr Cech
 Premier League, Arsenal FC, Rob Holding
 Premier League, Arsenal FC, Santi Cazorla
 Premier League, Arsenal FC, Shkodran Mustafi
 Premier League, Arsenal FC, Theo Walcott
 Premier League, Arsenal FC, Yaya Sanogo
 Premier League, Burnley FC, Andre Gray
 Premier League, Burnley FC, Ashley Barnes
 Premier League, Burnley FC, Ashley Westwood
 Premier League, Burnley FC, Ben Mee
 Premier League, Burnley FC, Dean Marney
 Premier League, Burnley FC, George Boyd
 Premier League, Burnley FC, James Tarkowski
 Premier League, Burnley FC, Jeff Hendrick
 Premier League, Burnley FC, Johann Berg Gudmundsson
 Premier League, Burnley FC, Jon Flanagan
 Premier League, Burnley FC, Kevin Long
 Premier League, Burnley FC, Matthew Lowton
 Premier League, Burnley FC, Michael Keane
 Premier League, Burnley FC, Nick Pope
 Premier League, Burnley FC, Paul Robinson
 Premier League, Burnley FC, Robbie Brady
 Premier League, Burnley FC, Sam Vokes
 Premier League, Burnley FC, Scott Arfield
 Premier League, Burnley FC, Stephen Ward
 Premier League, Burnley FC, Steven Defour
 Premier League, Burnley FC, Tendayi Darikwa
 Premier League, Burnley FC, Tom Heaton
 Premier League, Chelsea FC, Asmir Begovic
 Premier League, Chelsea FC, Cesc Fàbregas
 Premier League, Chelsea FC, Charly Musonda Jr.
 Premier League, Chelsea FC, César Azpilicueta
 Premier League, Chelsea FC, David Luiz
